Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SC1,05/08/17,Dumbarton,Morton,0,0,D,0,0,D,2.8,3.25,2.5,2.5,3.4,2.4,2.75,3.2,2.3,2.87,3.2,2.35,3.07,3.45,2.41,2.9,3.3,2.4,3,3.3,2.45,39,3.07,2.85,3.45,3.26,2.5,2.35,38,2.01,1.93,1.9,1.82,13,0,2.2,2.12,1.78,1.74,3.57,3.51,2.15
SC1,05/08/17,Inverness C,Dundee United,0,1,A,0,1,A,2.63,3.2,2.7,2.3,3.6,2.5,2.45,3.3,2.5,2.6,3.25,2.55,2.68,3.62,2.66,2.62,3.3,2.62,2.63,3.4,2.7,39,2.68,2.55,3.65,3.36,2.7,2.54,38,1.91,1.83,2.01,1.92,15,0,1.96,1.9,1.97,1.92,3.17,3.57,2.3
SC1,05/08/17,Livingston,Dunfermline,1,1,D,1,0,H,2.6,3.25,2.7,2.45,3.5,2.4,2.55,3.2,2.5,2.55,3.25,2.6,2.66,3.49,2.72,2.62,3.4,2.6,2.7,3.3,2.7,39,2.8,2.58,3.65,3.28,2.72,2.55,38,1.95,1.86,1.98,1.88,15,0,1.96,1.92,1.98,1.91,2.93,3.39,2.54
SC1,05/08/17,Queen of Sth,Brechin,4,1,H,2,0,H,1.53,4,6,1.55,4,4.6,1.5,3.85,5.25,1.57,3.8,5.25,1.61,4.25,5.75,1.57,4,5.5,1.57,4,6,39,1.61,1.55,4.25,3.96,6,5.35,34,1.79,1.72,2.21,2.04,13,-0.75,1.76,1.72,2.21,2.14,1.46,4.65,7.69
SC1,05/08/17,St Mirren,Falkirk,3,1,H,1,1,D,2.4,3.25,2.9,2.35,3.4,2.55,2.3,3.3,2.65,2.4,3.25,2.75,2.5,3.52,2.89,2.4,3.3,2.9,2.45,3.5,2.8,39,2.54,2.4,3.52,3.33,2.9,2.74,38,1.86,1.79,2.05,1.96,14,-0.25,2.15,2.09,1.8,1.76,2.53,3.52,2.85
SC1,12/08/17,Brechin,Livingston,2,2,D,0,2,A,4.33,3.8,1.75,3.9,3.4,1.8,4,3.5,1.75,4.25,3.6,1.75,4.65,3.88,1.79,4.5,3.5,1.8,4.33,3.8,1.8,40,4.65,4.21,3.88,3.58,1.81,1.77,38,1.83,1.76,2.08,1.99,14,0.75,1.87,1.82,2.06,2.02,7.72,4.81,1.44
SC1,12/08/17,Dundee United,Queen of Sth,2,1,H,1,1,D,1.62,3.8,5.5,1.65,3.75,4.2,1.6,3.6,4.75,1.67,3.6,4.75,1.72,3.89,5.16,1.67,3.6,5.5,1.7,3.8,5,41,1.72,1.66,3.89,3.66,5.5,4.83,39,1.91,1.84,1.98,1.91,14,-1,2.33,2.21,1.75,1.68,1.81,3.85,4.6
SC1,12/08/17,Dunfermline,Inverness C,5,1,H,3,1,H,2.2,3.5,3.1,2.3,3.5,2.6,2.2,3.15,2.9,2.25,3.2,3,2.41,3.43,3.09,2.3,3.3,3.1,2.3,3.4,3.13,41,2.41,2.29,3.5,3.26,3.13,2.96,39,2.08,1.97,1.89,1.78,13,0,1.71,1.68,2.26,2.21,3.16,3.48,2.35
SC1,12/08/17,Falkirk,Dumbarton,1,1,D,1,1,D,1.6,3.6,6.25,1.57,3.4,5.5,1.55,3.8,5.25,1.53,3.9,5.5,1.57,4.34,6.06,1.57,3.8,6,1.57,4,6,40,1.6,1.55,4.34,3.88,6.25,5.54,38,1.79,1.73,2.13,2.04,13,-0.75,1.74,1.72,2.23,2.18,1.47,4.63,7.48
SC1,12/08/17,Morton,St Mirren,4,1,H,1,1,D,2.5,3.4,2.7,2.4,3.3,2.55,2.5,3.1,2.55,2.6,3.1,2.62,2.71,3.28,2.81,2.62,3.3,2.62,2.63,3.4,2.7,41,2.71,2.56,3.4,3.17,2.81,2.65,39,2.1,1.99,1.85,1.76,16,0,1.96,1.9,2.02,1.94,2.45,3.4,3.06
