Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
SW1-1718.csv,01/04/17,Helsingborg,Trelleborg,1,0
SW1-1718.csv,01/04/17,Dalkurd,Brommapojkarna,0,0
SW1-1718.csv,02/04/17,Syrianska,Degerfors,2,3
SW1-1718.csv,02/04/17,Falkenberg,Öster,0,2
SW1-1718.csv,02/04/17,Norrby,GAIS,0,0
SW1-1718.csv,02/04/17,Värnamo,Åtvidaberg,4,0
SW1-1718.csv,02/04/17,Frej,Gefle,2,2
SW1-1718.csv,03/04/17,Örgryte,Varberg,2,1
SW1-1718.csv,07/04/17,Gefle,Värnamo,2,5
SW1-1718.csv,08/04/17,Degerfors,Norrby,2,0
SW1-1718.csv,08/04/17,Brommapojkarna,Örgryte,3,0
SW1-1718.csv,08/04/17,GAIS,Dalkurd,0,1
SW1-1718.csv,09/04/17,Varberg,Helsingborg,3,3
SW1-1718.csv,09/04/17,Trelleborg,Falkenberg,2,2
SW1-1718.csv,10/04/17,Öster,Syrianska,2,1
SW1-1718.csv,10/04/17,Åtvidaberg,Frej,1,2
SW1-1718.csv,14/04/17,Örgryte,Åtvidaberg,2,1
SW1-1718.csv,16/04/17,Dalkurd,Varberg,0,0
SW1-1718.csv,16/04/17,Norrby,Trelleborg,1,1
SW1-1718.csv,16/04/17,Syrianska,GAIS,2,1
SW1-1718.csv,17/04/17,Frej,Öster,0,1
SW1-1718.csv,17/04/17,Helsingborg,Gefle,1,1
SW1-1718.csv,17/04/17,Falkenberg,Degerfors,1,1
SW1-1718.csv,18/04/17,Värnamo,Brommapojkarna,0,1
SW1-1718.csv,21/04/17,Gefle,Syrianska,1,0
SW1-1718.csv,22/04/17,Öster,Dalkurd,1,2
SW1-1718.csv,22/04/17,Varberg,Frej,2,1
SW1-1718.csv,22/04/17,GAIS,Helsingborg,0,0
SW1-1718.csv,22/04/17,Degerfors,Värnamo,0,1
SW1-1718.csv,23/04/17,Åtvidaberg,Falkenberg,1,1
SW1-1718.csv,23/04/17,Brommapojkarna,Norrby,3,0
SW1-1718.csv,24/04/17,Trelleborg,Örgryte,6,0
SW1-1718.csv,28/04/17,Falkenberg,GAIS,1,2
SW1-1718.csv,29/04/17,Dalkurd,Gefle,3,0
