league,round,year,comp
Champions League,1qr,2015,31725
Champions League,2qr,2015,31726
Champions League,3qr,2015,31727
Champions League,po,2015,31728
Champions League,gs,2015,31729
Champions League,r16,2015,31730
Champions League,r8,2015,31731
Champions League,r4,2015,31732
Champions League,r2,2015,31733
Europa League,1qr,2015,31530
Europa League,2qr,2015,31531
Europa League,3qr,2015,31532
Europa League,po,2015,31533
Europa League,gs,2015,31534
Europa League,r32,2015,31535
Europa League,r16,2015,31536
Europa League,r8,2015,31537
Europa League,r4,2015,31538
Europa League,r2,2015,31539
Albania,reg season,2015,31891
Andorra,reg season,2015,32774
Andorra,champ,2015,32776
Andorra,relegation,2015,32775
Armenia,reg season,2015,31959
Austria,reg season,2015,31588
Azerbaijan,reg season,2015,32509
Belarus,reg season,2015,30290
Belgium,reg season,2015,31603
Belgium,Playoff 1,2015,31606
Belgium,Playoff 2,2015,31604
Belgium,Playoff 3,2015,31607
Belgium,cl/el,2015,31608
Bosnia-Herzegovina,reg season,2015,31610
Bosnia-Herzegovina,relegation,2015,NA
Bosnia-Herzegovina,champ,2015,NA
Bulgaria,reg season,2015,31629
Bulgaria,champ,2015,NA
Bulgaria,relegation,2015,NA
Croatia,reg season,2015,31632
Cyprus,reg season,2015,31626
Cyprus,champ,2015,31628
Cyprus,relegation,2015,31627
Czech Republic,reg season,2015,31633
Denmark,reg season,2015,31710
Denmark,champ,2015,NA
England,reg season,2015,31553
Estonia,reg season,2015,30452
Faroe Islands,reg season,2015,30147
Finland,reg season,2015,30442
France,reg season,2015,31546
Georgia,reg season,2015,32568
Georgia,champ,2015,NA
Georgia,relegation,2015,NA
Georgia,el playoffs,2015,NA
Georgia,el playoffs,2015,NA
Germany,reg season,2015,31545
Gibraltar,reg season,2015,32202
Greece,reg season,2015,32039
Greece,playoffs,2015,32040
Hungary,reg season,2015,31634
Iceland,reg season,2015,30682
Ireland,reg season,2015,30287
Israel,reg season,2015,31589
Israel,champ,2015,31590
Israel,relegation,2015,31591
Italy,reg season,2015,31554
Kazakhstan,reg season,2015,30455
Kazakhstan,champ,2015,30456
Kazakhstan,relegation,2015,30457
Latvia,reg season,2015,30890
Liechtenstein,1st round,2015,32433
Liechtenstein,2nd round,2015,32432
Liechtenstein,Q,2015,32431
Liechtenstein,S,2015,32430
Liechtenstein,F,2015,32429
Lithuania,reg season,2015,30383
Lithuania,champ,2015,NA
Luxembourg,reg season,2015,32041
Macedonia,reg season,2015,32384
Malta,reg season,2015,31985
Malta,champ,2015,31986
Moldova,reg season,2015,31600
Montenegro,reg season,2015,31688
Netherlands,reg season,2015,31561
Netherlands,rel,2015,NA
Netherlands,el playoffs,2015,NA
Netherlands,el playoffs,2015,NA
Northern Ireland,reg season,2015,31636
Northern Ireland,el,2015,NA
Northern Ireland,champ,2015,31993
Northern Ireland,relegation,2015,31994
Northern Ireland,el playoffs,2015,NA
Northern Ireland,rel,2015,NA
Northern Ireland,el playoffs,2015,NA
Norway,reg season,2015,30154
Poland,reg season,2015,31713
Poland,champ,2015,31714
Poland,relegation,2015,31715
Portugal,reg season,2015,31637
Romania,reg season,2015,31639
Romania,champ,2015,NA
Romania,relegation,2015,NA
Russia,reg season,2015,31690
San Marino,reg season,2015,33138
San Marino,Playoff 1,2015,33139
San Marino,Playoff 2,2015,33140
San Marino,Playoff 3,2015,33141
San Marino,Playoff 4,2015,33142
San Marino,Playoff 5,2015,33143
San Marino,Playoff 6,2015,33144
Scotland,reg season,2015,31567
Scotland,Phase 2,2015,31568
Serbia,reg season,2015,31640
Serbia,champ,2015,NA
