game,res,league,howmany,scores
Apoel Nicosia v B Dortmund                   ,21,euc,   168,0-2:1-2:1-3:0-3:0-1:0-4
Feyenoord v Shakhtar Donetsk                 ,X ,euc,   168,1-1:1-2:2-1:2-0:2-2:1-0
Man City v Napoli                            ,10,euc,   168,2-1:3-1:2-0:3-0
Monaco v Besiktas                            ,10,euc,   168,2-1:2-0:1-1:1-0:1-2:3-1:3-0
NK Maribor v Liverpool                       ,21,euc,   168,1-2:0-2:0-3:0-1:1-3:1-1
RB Leipzig v FC Porto                        ,X ,euc,   167,1-2:1-1:2-1:1-0:0-1:1-3:2-0
Real Madrid v Tottenham                      ,10,euc,   168,2-1:3-1:2-0:3-0:1-1:3-2:2-2
Spartak Moscow v Sevilla                     ,X ,euc,   167,1-2:1-1:0-1:1-0:2-1:0-2:2-2
FK Qarabag v Atl Madrid                      ,21,euc,   164,0-2:0-3:1-2:1-3:0-1:0-4
Anderlecht v PSG                             ,21,euc,   164,0-3:1-3:0-4:1-4:0-2:0-5:1-2
Barcelona v Olympiakos                       ,10,euc,   164,3-0:4-0:2-0:3-1:4-1:2-1:5-0
Bayern Munich v Celtic                       ,10,euc,   164,3-0:2-0:3-1:4-0:1-1:2-1
Benfica v Man Utd                            ,2 ,euc,   164,1-2:1-1:1-3:0-2:0-3:0-1
Chelsea v Roma                               ,10,euc,   164,2-1:2-0:3-1:1-1:1-0:3-0
CSKA Moscow v FC Basel                       ,X ,euc,   164,1-1:2-1:1-2:2-0:1-0
Juventus v Sporting                          ,10,euc,   165,2-0:2-1:3-0:3-1:1-0
FC Astana v Maccabi Tel-Aviv                 ,X ,eue,    73,1-0:1-1:2-1:1-2:2-0:0-2
BATE Borisov v Köln                          ,X ,eue,    73,1-2:1-1:0-1:2-1:2-2:0-2:1-0
Crvena Zvezda v Arsenal                      ,21,eue,    73,1-2:0-3:0-2:1-3:1-1
Hapoel Be'er Sheva v Steaua Bucharest        ,1 ,eue,    73,2-1:1-0:1-1:1-2:0-1:0-2:2-0
Konyaspor v RB Salzburg                      ,X ,eue,    73,1-2:1-1:0-1:0-2:2-1:1-0
Lugano v Viktoria Plzen                      ,X ,eue,    73,1-1:1-0:0-1:1-2:0-2:2-0:2-1:2-2
Marseille v Vitória Guimarães                ,10,eue,    73,2-0:3-1:2-1:3-0:1-0
Nice v Lazio                                 ,X ,eue,    73,1-2:1-1:1-0:2-2:2-1:1-3
Östersunds FK v Ath Bilbao                   ,1 ,eue,    73,1-2:0-2:0-1:1-3:1-0:1-1
SV Zulte Waregem v Vitesse                   ,X ,eue,    73,1-1:2-1:0-1:1-2:0-0:1-0
Vardar v Real Sociedad                       ,2 ,eue,    73,0-2:1-2:1-1:0-3:1-0:1-3:0-1
Zenit St Petersburg v Rosenborg              ,10,eue,    73,2-0:1-0:2-1:3-1:1-1:3-0
Zorya Luhansk v Hertha Berlin                ,2 ,eue,    73,1-2:1-1:0-1:0-2:1-0
AC Milan v AEK Athens                        ,10,eue,    73,3-1:2-0:3-0:2-1:4-0:1-1
Atalanta v Apollon Limassol                  ,10,eue,    73,2-0:2-1:3-1:1-0:3-0:1-1:1-2
Austria Vienna v HNK Rijeka                  ,10,eue,    73,2-0:2-1:1-0:1-1:1-2:0-1
Dynamo Kiev v Young Boys                     ,10,eue,    73,2-1:2-0:3-0:1-0:3-1:1-1
Everton v Lyon                               ,X ,eue,    73,1-1:2-1:1-0:2-2:1-2:1-3:2-0
Hoffenheim v Istanbul Basaksehir             ,0 ,eue,    73,2-0:2-1:1-0:1-1:3-1
Sheriff Tiraspol v Lokomotiv Moscow          ,2 ,eue,    73,1-2:0-1:1-1:0-2:1-0
Skenderbeu v Partizan Belgrade               ,X ,eue,    73,1-1:0-1:2-1:1-2:0-2:0-0:1-0
Sporting Braga v Ludogorets                  ,0 ,eue,    73,2-0:2-1:1-1:1-0:0-0:2-2
Villarreal v Slavia Prague                   ,10,eue,    73,2-0:1-0:2-1:3-1:3-0
Zlín v FC Copenhagen                         ,2 ,eue,    73,0-1:1-2:1-1:1-0:0-2:1-3:0-0
Liverpool v Man Utd                          ,X ,en ,  3231,1-2:1-1:1-3:2-1:2-2:0-2
Burnley v West Ham                           ,X ,en ,  3309,1-0:1-1:2-1:2-0:1-2:0-1
Crystal Palace v Chelsea                     ,21,en ,  3307,0-3:0-2:1-3:0-4:1-2
Man City v Stoke                             ,10,en ,  3310,3-0:2-0:3-1:4-0:4-1:2-1
Swansea v Huddersfield                       ,0 ,en ,  3308,1-1:1-0:2-1:2-0:0-0:1-2:0-1
Tottenham v Bournemouth                      ,10,en ,  3310,2-0:3-0:3-1:2-1:4-0
Watford v Arsenal                            ,21,en ,  3316,1-2:1-3:0-2:1-1:2-2:2-1
Brighton v Everton                           ,X ,en ,  3310,1-1:1-2:2-1:1-0:0-1:0-2:0-0
Southampton v Newcastle                      ,X ,en ,  3317,1-1:2-1:1-0:1-2:2-0:0-0:0-1:2-2
Leicester v West Brom                        ,0 ,en ,  3297,2-1:2-0:1-1:1-0:2-2:0-1:3-1:1-2
Aston Villa v Fulham                         ,0 ,en2,    71,2-1:1-1:2-0:1-0:0-0:2-2
