Sat,02/04/16,Malmö FF,3 - 1,Norrköping,View events,More info
,,Kalmar,0 - 1,Jönköpings Södra,View events,More info
Sun,03/04/16,Häcken,2 - 1,Elfsborg,View events,More info
,,AIK,1 - 1,GIF Sundsvall,View events,More info
,,Gefle,1 - 1,Helsingborg,View events,More info
,,Falkenberg,0 - 2,IFK Göteborg,View events,More info
,,Örebro,0 - 2,Djurgården,View events,More info
Mon,04/04/16,Hammarby,1 - 1,Östersunds FK,View events,More info
Wed,06/04/16,Jönköpings Södra,3 - 2,Malmö FF,View events,More info
,,Norrköping,4 - 1,Kalmar,View events,More info
,,IFK Göteborg,1 - 0,Häcken,View events,More info
Thu,07/04/16,Östersunds FK,0 - 2,AIK,View events,More info
,,GIF Sundsvall,1 - 2,Gefle,View events,More info
,,Helsingborg,1 - 3,Örebro,View events,More info
,,Elfsborg,4 - 1,Hammarby,,
Thu,07/04/16,Djurgården,5 - 0,Falkenberg,View events,More info
Sat,09/04/16,Häcken,1 - 2,Norrköping,View events,More info
Sun,10/04/16,Hammarby,5 - 1,Helsingborg,View events,More info
,,Gefle,1 - 2,Djurgården,View events,More info
,,Kalmar,3 - 2,Elfsborg,View events,More info
,,Falkenberg,1 - 2,Östersunds FK,View events,More info
Mon,11/04/16,AIK,3 - 3,IFK Göteborg,View events,More info
,,Malmö FF,1 - 2,GIF Sundsvall,View events,More info
,,Örebro,2 - 1,Jönköpings Södra,View events,More info
Fri,15/04/16,Östersunds FK,2 - 1,Häcken,View events,More info
Sat,16/04/16,Helsingborg,3 - 1,Falkenberg,View events,More info
Sun,17/04/16,Norrköping,4 - 1,AIK,View events,More info
,,Jönköpings Södra,1 - 0,Gefle,View events,More info
,,IFK Göteborg,1 - 1,Kalmar,View events,More info
Mon,18/04/16,Elfsborg,0 - 1,Malmö FF,View events,More info
,,GIF Sundsvall,3 - 1,Örebro,View events,More info
Tue,19/04/16,Djurgården,1 - 3,Hammarby,View events,More info
Fri,22/04/16,Falkenberg,2 - 1,Norrköping,View events,More info
Sat,23/04/16,Hammarby,1 - 1,Jönköpings Södra,View events,More info
,,Gefle,0 - 0,Östersunds FK,,More info
Sun,24/04/16,Malmö FF,1 - 0,Djurgården,View events,More info
,,Häcken,0 - 1,GIF Sundsvall,View events,More info
,,Örebro,3 - 2,IFK Göteborg,View events,More info
Mon,25/04/16,AIK,2 - 1,Elfsborg,View events,More info
,,Kalmar,2 - 3,Helsingborg,View events,More info
